FIPS,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
6-10-2020,Tamil Nadu,11-06-2020 03:33,11.006091,78.400624,34914,307,18325,16282,"Tamil Nadu, India",44.85281567,0.879303431
6-11-2020,Tamil Nadu,12-06-2020 05:09,11.006091,78.400624,38716,349,20705,17662,"Tamil Nadu, India",49.73711438,0.901436099
6-12-2020,Tamil Nadu,13-06-2020 03:33,11.006091,78.400624,38716,349,20705,17662,"Tamil Nadu, India",49.73711438,0.901436099
6-13-2020,Tamil Nadu,14-06-2020 03:33,11.006091,78.400624,40698,367,22047,18284,"Tamil Nadu, India",52.28332165,0.901764214
6-14-2020,Tamil Nadu,15-06-2020 03:33,11.006091,78.400624,42687,397,23409,18881,"Tamil Nadu, India",54.83852158,0.930025535
6-15-2020,Tamil Nadu,16-06-2020 04:33,11.006091,78.400624,46504,479,25344,20681,"Tamil Nadu, India",59.74209027,1.030018923
6-16-2020,Tamil Nadu,17-06-2020 04:33,11.006091,78.400624,48019,528,26782,20709,"Tamil Nadu, India",61.6883587,1.099564756
6-17-2020,Tamil Nadu,18-06-2020 04:33,11.006091,78.400624,50193,576,27624,21993,"Tamil Nadu, India",64.48122177,1.147570378
6-18-2020,Tamil Nadu,19-06-2020 04:33,11.006091,78.400624,52334,625,28641,23068,"Tamil Nadu, India",67.23169087,1.194252303
6-19-2020,Tamil Nadu,20-06-2020 04:33,11.006091,78.400624,54449,666,30271,23512,"Tamil Nadu, India",69.94875867,1.22316296
6-20-2020,Tamil Nadu,21-06-2020 04:33,11.006091,78.400624,56845,704,31316,24825,"Tamil Nadu, India",73.02681751,1.238455449
6-21-2020,Tamil Nadu,22-06-2020 04:33,11.006091,78.400624,59377,757,32754,25866,"Tamil Nadu, India",76.27959088,1.274904424
6-22-2020,Tamil Nadu,23-06-2020 04:33,11.006091,78.400624,62087,794,34112,27181,"Tamil Nadu, India",79.76103472,1.278850645
6-23-2020,Tamil Nadu,24-06-2020 04:33,11.006091,78.400624,64603,833,35339,28431,"Tamil Nadu, India",82.99325344,1.289413804
6-24-2020,Tamil Nadu,25-06-2020 05:26,11.006091,78.400624,67468,866,37763,28839,"Tamil Nadu, India",86.67382046,1.283571471
6-25-2020,Tamil Nadu,26-06-2020 04:33,11.006091,78.400624,70977,911,39999,30067,"Tamil Nadu, India",91.18171214,1.283514378
6-26-2020,Tamil Nadu,27-06-2020 04:33,11.006091,78.400624,74622,957,41357,32308,"Tamil Nadu, India",95.86431834,1.282463617
6-27-2020,Tamil Nadu,28-06-2020 04:34,11.006091,78.400624,78335,1025,44094,33216,"Tamil Nadu, India",100.6342818,1.308482798
6-28-2020,Tamil Nadu,29-06-2020 04:33,11.006091,78.400624,82275,1079,45537,35659,"Tamil Nadu, India",105.6958644,1.311455485
6-29-2020,Tamil Nadu,30-06-2020 04:33,11.006091,78.400624,86224,1141,47749,37334,"Tamil Nadu, India",110.7690089,1.323297458
6-30-2020,Tamil Nadu,01-07-2020 04:33,11.006091,78.400624,90167,1201,50074,38892,"Tamil Nadu, India",115.8344455,1.331972895
7-1-2020,Tamil Nadu,02-07-2020 04:33,11.006091,78.400624,94049,1264,52926,39859,"Tamil Nadu, India",120.8215175,1.343980266
7-2-2020,Tamil Nadu,03-07-2020 04:33,11.006091,78.400624,98392,1321,56021,41050,"Tamil Nadu, India",126.4008203,1.342588828
7-3-2020,Tamil Nadu,04-07-2020 04:33,11.006091,78.400624,102721,1385,58378,42958,"Tamil Nadu, India",131.9621378,1.348312419
7-4-2020,Tamil Nadu,05-07-2020 04:33,11.006091,78.400624,107001,1450,60592,44959,"Tamil Nadu, India",137.4605066,1.355127522
7-5-2020,Tamil Nadu,06-07-2020 04:33,11.006091,78.400624,111151,1510,62778,46863,"Tamil Nadu, India",142.791869,1.358512294
7-6-2020,Tamil Nadu,07-07-2020 04:34,11.006091,78.400624,114978,1571,66571,46836,"Tamil Nadu, India",147.7082843,1.366348345
7-7-2020,Tamil Nadu,08-07-2020 05:33,11.006091,78.400624,118594,1636,71116,45842,"Tamil Nadu, India",152.3536353,1.379496433
7-8-2020,Tamil Nadu,09-07-2020 04:34,11.006091,78.400624,122350,1700,74167,46483,"Tamil Nadu, India",157.1788393,1.389456477
7-9-2020,Tamil Nadu,10-07-2020 04:34,11.006091,78.400624,126581,1765,78161,46655,"Tamil Nadu, India",162.6142596,1.394364083
7-10-2020,Tamil Nadu,11-07-2020 04:34,11.006091,78.400624,130261,1829,82324,46108,"Tamil Nadu, India",167.3418291,1.404104068
7-11-2020,Tamil Nadu,12-07-2020 04:34,11.006091,78.400624,134226,1898,85915,46413,"Tamil Nadu, India",172.4355283,1.414033049
7-12-2020,Tamil Nadu,13-07-2020 04:43,11.006091,78.400624,138470,1966,89532,46972,"Tamil Nadu, India",177.8876492,1.419802123
7-13-2020,Tamil Nadu,14-07-2020 04:34,11.006091,78.400624,142798,2032,92567,48199,"Tamil Nadu, India",183.4476821,1.422989117
7-14-2020,Tamil Nadu,15-07-2020 04:34,11.006091,78.400624,147324,2099,97310,47915,"Tamil Nadu, India",189.2620787,1.424750889
7-15-2020,Tamil Nadu,16-07-2020 04:44,11.006091,78.400624,151820,2167,102310,47343,"Tamil Nadu, India",195.0379353,1.427348175
7-16-2020,Tamil Nadu,17-07-2020 04:34,11.006091,78.400624,156369,2236,107416,46717,"Tamil Nadu, India",200.8818793,1.429950949
7-17-2020,Tamil Nadu,18-07-2020 04:34,11.006091,78.400624,160907,2315,110807,47785,"Tamil Nadu, India",206.7116919,1.43871926
7-18-2020,Tamil Nadu,19-07-2020 04:34,11.006091,78.400624,165714,2403,113856,49455,"Tamil Nadu, India",212.8870795,1.450088707
7-19-2020,Tamil Nadu,20-07-2020 05:34,11.006091,78.400624,170693,2481,117915,50297,"Tamil Nadu, India",219.2834297,1.453486669
7-20-2020,Tamil Nadu,21-07-2020 04:38,11.006091,78.400624,175678,2551,121776,51351,"Tamil Nadu, India",225.6874878,1.45208848
7-21-2020,Tamil Nadu,22-07-2020 04:34,11.006091,78.400624,180643,2626,126670,51347,"Tamil Nadu, India",232.0658527,1.453695964
7-22-2020,Tamil Nadu,23-07-2020 05:15,11.006091,78.400624,186492,3144,131583,51765,"Tamil Nadu, India",239.5798619,1.685863201
7-23-2020,Tamil Nadu,24-07-2020 05:30,11.006091,78.400624,192964,3232,136793,52939,"Tamil Nadu, India",247.8942179,1.67492382
7-24-2020,Tamil Nadu,25-07-2020 04:47,11.006091,78.400624,199749,3320,143297,53132,"Tamil Nadu, India",256.6106741,1.662085918
7-25-2020,Tamil Nadu,26-07-2020 04:35,11.006091,78.400624,206737,3409,151055,52273,"Tamil Nadu, India",265.5879175,1.648954952
7-26-2020,Tamil Nadu,27-07-2020 04:35,11.006091,78.400624,213723,3494,156526,53703,"Tamil Nadu, India",274.5625916,1.634826387
7-27-2020,Tamil Nadu,28-07-2020 04:58,11.006091,78.400624,220716,3571,162249,54896,"Tamil Nadu, India",283.5462583,1.617916236
7-28-2020,Tamil Nadu,29-07-2020 04:35,11.006091,78.400624,220716,3571,162249,54896,"Tamil Nadu, India",283.5462583,1.617916236
7-29-2020,Tamil Nadu,30-07-2020 04:35,11.006091,78.400624,234114,3741,172883,57490,"Tamil Nadu, India",300.7582084,1.597939465
7-30-2020,Tamil Nadu,31-07-2020 04:35,11.006091,78.400624,239978,3838,178178,57962,"Tamil Nadu, India",308.2914876,1.59931327
7-31-2020,Tamil Nadu,01-08-2020 04:36,11.006091,78.400624,245859,3935,183956,57968,"Tamil Nadu, India",315.8466061,1.600510862
8-1-2020,Tamil Nadu,02-08-2020 04:34,11.006091,78.400624,251738,4034,190966,56738,"Tamil Nadu, India",323.3991554,1.6024597
