FIPS,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
01-01-2021,Tamil Nadu,02-01-2021 05:22,11.006091,78.400624,818935,12135,797391,9409,"Tamil Nadu, India",1052.057644,1.481802585
01-01-2022,Tamil Nadu,02-01-2022 04:20,11.006091,78.400624,2749534,36784,"Tamil Nadu, India",3532.231817,1.337826701,,
01-01-2023,Tamil Nadu,02-01-2023 04:20,11.006091,78.400624,3594444,38049,"Tamil Nadu, India",4617.658651,1.058550363,,
01-02-2021,Tamil Nadu,03-01-2021 05:22,11.006091,78.400624,819845,12146,799427,8272,"Tamil Nadu, India",1053.22669,1.481499552
01-02-2022,Tamil Nadu,03-01-2022 02:22,11.006091,78.400624,2751128,36790,"Tamil Nadu, India",3534.279574,1.337269658,,
01-02-2023,Tamil Nadu,03-01-2023 04:21,11.006091,78.400624,3594456,38049,"Tamil Nadu, India",4617.674067,1.058546829,,
01-03-2021,Tamil Nadu,04-01-2021 05:22,11.006091,78.400624,820712,12156,800429,8127,"Tamil Nadu, India",1054.340495,1.48115295
01-03-2022,Tamil Nadu,04-01-2022 04:22,11.006091,78.400624,2752856,36796,"Tamil Nadu, India",3536.499477,1.336648194,,
01-03-2023,Tamil Nadu,04-01-2023 04:21,11.006091,78.400624,3594466,38049,"Tamil Nadu, India",4617.686914,1.058543884,,
01-04-2021,Tamil Nadu,05-01-2021 05:21,11.006091,78.400624,821550,12166,801414,7970,"Tamil Nadu, India",1055.417045,1.480859351
01-04-2022,Tamil Nadu,05-01-2022 04:21,11.006091,78.400624,2755587,36805,"Tamil Nadu, India",3540.007898,1.335650081,,
01-04-2023,Tamil Nadu,05-01-2023 04:21,11.006091,78.400624,3594478,38049,"Tamil Nadu, India",4617.70233,1.05854035,,
01-05-2021,Tamil Nadu,06-01-2021 05:22,11.006091,78.400624,822370,12177,802385,7808,"Tamil Nadu, India",1056.470471,1.480720357
01-05-2022,Tamil Nadu,06-01-2022 04:22,11.006091,78.400624,2760449,36814,"Tamil Nadu, India",3546.253943,1.333623624,,
01-05-2023,Tamil Nadu,06-01-2023 04:21,11.006091,78.400624,3594487,38049,"Tamil Nadu, India",4617.713892,1.0585377,,
01-06-2021,Tamil Nadu,07-01-2021 05:22,11.006091,78.400624,823181,12188,803328,7665,"Tamil Nadu, India",1057.512335,1.480597827
01-06-2022,Tamil Nadu,07-01-2022 04:22,11.006091,78.400624,2767432,36825,"Tamil Nadu, India",3555.224763,1.330656002,,
01-06-2023,Tamil Nadu,07-01-2023 04:21,11.006091,78.400624,3594494,38049,"Tamil Nadu, India",4617.722885,1.058535638,,
01-07-2021,Tamil Nadu,08-01-2021 05:22,11.006091,78.400624,823986,12200,804239,7547,"Tamil Nadu, India",1058.546491,1.48060768
01-07-2022,Tamil Nadu,08-01-2022 04:21,11.006091,78.400624,2776413,36833,"Tamil Nadu, India",3566.762345,1.326639805,,
01-07-2023,Tamil Nadu,08-01-2023 04:21,11.006091,78.400624,3594501,38049,"Tamil Nadu, India",4617.731877,1.058533577,,
01-08-2021,Tamil Nadu,09-01-2021 05:22,11.006091,78.400624,823986,12200,804239,7547,"Tamil Nadu, India",1058.546491,1.48060768
01-08-2022,Tamil Nadu,09-01-2022 04:21,11.006091,78.400624,2787391,36843,"Tamil Nadu, India",3580.865404,1.321773659,,
01-08-2023,Tamil Nadu,09-01-2023 04:20,11.006091,78.400624,3594509,38049,"Tamil Nadu, India",4617.742155,1.058531221,,
01-09-2021,Tamil Nadu,10-01-2021 05:22,11.006091,78.400624,825537,12215,806018,7304,"Tamil Nadu, India",1060.539007,1.479642948
01-09-2022,Tamil Nadu,10-01-2022 04:22,11.006091,78.400624,2800286,36855,"Tamil Nadu, India",3597.431167,1.316115568,,
01-09-2023,Tamil Nadu,10-01-2023 04:20,11.006091,78.400624,3594515,38049,"Tamil Nadu, India",4617.749863,1.058529454,,
01-10-2021,Tamil Nadu,11-01-2021 05:21,11.006091,78.400624,826261,12222,806875,7164,"Tamil Nadu, India",1061.469105,1.47919362
01-10-2022,Tamil Nadu,11-01-2022 04:22,11.006091,78.400624,2814276,36866,"Tamil Nadu, India",3615.403639,1.309963913,,
01-10-2023,Tamil Nadu,11-01-2023 04:21,11.006091,78.400624,3594523,38049,"Tamil Nadu, India",4617.76014,1.058527098,,
