Date,Active
12-31-2020,8615
12-30-2020,8615
12-29-2020,8747
12-28-2020,8867
12-27-2020,8947
12-26-2020,9039
12-25-2020,9129
12-24-2020,9217
12-23-2020,9314
12-22-2020,9391
12-21-2020,9495
12-20-2020,9593
12-19-2020,9692
12-18-2020,9781
12-17-2020,9829
12-16-2020,9880
12-15-2020,9951
12-14-2020,10039
12-13-2020,10115
12-12-2020,10208
12-11-2020,10299
12-10-2020,10392
12-09-2020,10491
12-08-2020,10588
12-07-2020,10695
12-06-2020,10688
12-05-2020,10882
12-04-2020,10938
12-03-2020,10988
12-02-2020,10999
12-01-2020,10980
11-30-2020,10997
11-29-2020,11052
11-28-2020,11073
11-27-2020,11109
11-26-2020,11173
11-25-2020,11520
11-24-2020,11875
11-23-2020,12245
11-22-2020,12542
11-21-2020,12916
11-20-2020,13404
11-19-2020,13907
11-18-2020,14470
11-17-2020,15085
11-16-2020,15765
11-15-2020,16441
11-14-2020,17154
11-13-2020,17748
11-12-2020,18395
11-11-2020,18655
11-10-2020,18709
11-09-2020,18825
11-08-2020,18894
11-07-2020,18966
11-06-2020,19002
11-05-2020,19061
11-04-2020,19154
11-03-2020,19201
11-02-2020,19504
11-01-2020,20994
10-31-2020,22164
10-30-2020,23532
10-29-2020,24886
10-28-2020,26356
10-27-2020,27734
10-26-2020,29268
10-25-2020,30606
10-24-2020,31787
10-23-2020,32960
10-22-2020,34198
10-21-2020,35480
10-20-2020,36734
10-19-2020,38093
10-18-2020,39121
10-17-2020,40192
10-16-2020,40959
10-15-2020,41872
10-14-2020,42566
10-13-2020,43239
10-12-2020,43747
10-11-2020,44095
10-10-2020,44150
10-09-2020,44197
10-08-2020,44437
10-07-2020,45135
10-06-2020,45279
10-05-2020,45881
10-04-2020,46120
10-03-2020,46255
10-02-2020,46294
10-01-2020,46369
09-30-2020,46263
09-29-2020,46281
09-28-2020,46306
09-27-2020,46341
09-26-2020,46336
09-25-2020,46386
09-24-2020,46405
09-23-2020,46249
09-22-2020,46350
09-21-2020,46495
09-20-2020,46703
09-19-2020,46453
09-18-2020,46506
09-17-2020,46610
09-16-2020,46633
09-15-2020,46806
09-14-2020,47012
09-13-2020,47012
09-12-2020,47110
09-11-2020,47918
09-10-2020,48482
09-09-2020,49203
09-08-2020,50213
09-07-2020,51215
09-06-2020,51458
09-05-2020,51583
09-04-2020,51633
09-03-2020,52070
09-02-2020,52380
09-01-2020,52379
08-31-2020,52578
08-30-2020,52721
08-29-2020,52726
08-28-2020,52506
08-27-2020,52364
08-26-2020,52362
08-25-2020,52128
08-24-2020,53282
08-23-2020,53541
08-22-2020,53710
08-21-2020,53413
08-20-2020,53283
08-19-2020,53155
08-18-2020,53860
08-17-2020,54122
08-16-2020,54019
08-15-2020,54213
08-14-2020,53716
