FIPS,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
07-01-2020,Tamil Nadu,02-07-2020 04:33,11.006091,78.400624,94049,1264,52926,39859,"Tamil Nadu, India",120.8215175,1.343980266
08-01-2020,Tamil Nadu,02-08-2020 04:34,11.006091,78.400624,251738,4034,190966,56738,"Tamil Nadu, India",323.3991554,1.6024597
09-01-2020,Tamil Nadu,02-09-2020 04:28,11.006091,78.400624,433969,7418,374172,52379,"Tamil Nadu, India",557.5050571,1.709338685
10-01-2020,Tamil Nadu,02-10-2020 04:23,11.006091,78.400624,603290,9586,547335,46369,"Tamil Nadu, India",775.0259255,1.588953903
11-01-2020,Tamil Nadu,02-11-2020 05:25,11.006091,78.400624,727026,11152,694880,20994,"Tamil Nadu, India",933.9853114,1.533920382
12-01-2020,Tamil Nadu,02-12-2020 05:27,11.006091,78.400624,783319,11722,760617,10980,"Tamil Nadu, India",1006.302994,1.496452914
07-02-2020,Tamil Nadu,03-07-2020 04:33,11.006091,78.400624,98392,1321,56021,41050,"Tamil Nadu, India",126.4008203,1.342588828
08-02-2020,Tamil Nadu,03-08-2020 04:34,11.006091,78.400624,257613,4132,196483,56998,"Tamil Nadu, India",330.9465659,1.603956322
09-02-2020,Tamil Nadu,03-09-2020 04:28,11.006091,78.400624,439959,7516,380063,52380,"Tamil Nadu, India",565.2002042,1.708341005
10-02-2020,Tamil Nadu,03-10-2020 04:23,11.006091,78.400624,608885,9653,552938,46294,"Tamil Nadu, India",782.2136297,1.585356841
11-02-2020,Tamil Nadu,03-11-2020 06:00,11.006091,78.400624,729507,11183,698820,19504,"Tamil Nadu, India",937.1725668,1.532953077
12-02-2020,Tamil Nadu,03-12-2020 05:28,11.006091,78.400624,784747,11733,762015,10999,"Tamil Nadu, India",1008.137496,1.495131552
07-03-2020,Tamil Nadu,04-07-2020 04:33,11.006091,78.400624,102721,1385,58378,42958,"Tamil Nadu, India",131.9621378,1.348312419
08-03-2020,Tamil Nadu,04-08-2020 04:41,11.006091,78.400624,263222,4241,202283,56698,"Tamil Nadu, India",338.1522554,1.611187515
09-03-2020,Tamil Nadu,04-09-2020 04:28,11.006091,78.400624,445851,7608,386173,52070,"Tamil Nadu, India",572.769454,1.706399672
10-03-2020,Tamil Nadu,04-10-2020 04:23,11.006091,78.400624,614507,9718,558534,46255,"Tamil Nadu, India",789.4360198,1.581430317
11-03-2020,Tamil Nadu,04-11-2020 05:25,11.006091,78.400624,731942,11214,701527,19201,"Tamil Nadu, India",940.3007276,1.532088608
12-03-2020,Tamil Nadu,04-12-2020 05:27,11.006091,78.400624,786163,11747,763428,10988,"Tamil Nadu, India",1009.956583,1.494219392
07-04-2020,Tamil Nadu,05-07-2020 04:33,11.006091,78.400624,107001,1450,60592,44959,"Tamil Nadu, India",137.4605066,1.355127522
08-04-2020,Tamil Nadu,05-08-2020 04:34,11.006091,78.400624,268285,4349,208784,55152,"Tamil Nadu, India",344.6565175,1.62103733
09-04-2020,Tamil Nadu,05-09-2020 04:28,11.006091,78.400624,451827,7687,392507,51633,"Tamil Nadu, India",580.4466158,1.701314884
10-04-2020,Tamil Nadu,05-10-2020 04:23,11.006091,78.400624,619996,9784,564092,46120,"Tamil Nadu, India",796.4875495,1.578074697
11-04-2020,Tamil Nadu,05-11-2020 06:05,11.006091,78.400624,734429,11244,704031,19154,"Tamil Nadu, India",943.495691,1.530985296
12-04-2020,Tamil Nadu,05-12-2020 05:27,11.006091,78.400624,787554,11762,764854,10938,"Tamil Nadu, India",1011.743552,1.493484891
07-05-2020,Tamil Nadu,06-07-2020 04:33,11.006091,78.400624,111151,1510,62778,46863,"Tamil Nadu, India",142.791869,1.358512294
08-05-2020,Tamil Nadu,06-08-2020 04:35,11.006091,78.400624,273460,4461,214815,54184,"Tamil Nadu, India",351.3046621,1.631317194
09-05-2020,Tamil Nadu,06-09-2020 04:28,11.006091,78.400624,457697,7748,398366,51583,"Tamil Nadu, India",587.987603,1.692822981
10-05-2020,Tamil Nadu,06-10-2020 04:23,11.006091,78.400624,625391,9846,569664,45881,"Tamil Nadu, India",803.4183205,1.574375071
11-05-2020,Tamil Nadu,06-11-2020 05:24,11.006091,78.400624,736777,11272,706444,19061,"Tamil Nadu, India",946.5120859,1.529906607
